catalogID,time,workingID,P5,P7,Year,Pop,subpop,location,geographic location ,lat,long,lat_lon,Date,type,ext_ng/ul,lib_ng/ul,capture_pool,#clean_reads
MASS1707,modern,NE7,69,14,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,21-Jun-17,Blood,TH,31.3,m_p16,"5,774,999"
MASS1710,modern,NE10,18,29,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,22-Jun-17,Blood,30.9,23.7,m_p14,"3,318,022"
MASS1711,modern,NE11,13,46,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,22-Jun-17,Blood,28.7,4.13,m_p3,"4,335,678"
MASS1712,modern,NE12,48,80,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,22-Jun-17,Blood,21,13.5,m_p8,"1,158,569"
MASS1713,modern,NE13,57,68,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,22-Jun-17,Blood,TH,4.46,m_p3,"1,548,387"
MASS1714,modern,NE14,95,84,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,22-Jun-17,Blood,59,4.69,m_p4,"5,715,176"
MASS1715,modern,NE15,2,10,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,21-Jun-17,Blood,56,5.42,m_p4,"5,128,821"
MASS1716,modern,NE16,91,92,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,21-Jun-17,Blood,58,30.9,P2,"4,142,967"
MASS1717,modern,NE17,26,55,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,17-Jun-17,Blood,53,23.8,P2,"3,955,319"
MASS1718,modern,NE18,67,22,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,22-Jun-17,Blood,59,21,m_p13,"3,803,903"
MASS1719,modern,NE19,34,24,2017,NE,MASS,"Bird Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Bird Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,21-Jun-17,Blood,14.8,21.6,m_p16,"9,051,433"
MASS1720,modern,NE20,4,76,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,15-Jun-17,Blood,36.6,18.5,P2,"2,678,472"
MASS1721,modern,NE21,53,47,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,17-Jun-17,Blood,43.8,15,m_p9,"14,453,949"
MASS1722,modern,NE22,52,44,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,24-Jun-17,Blood,54,20.6,P1,"4,824,770"
MASS1723,modern,NE23,62,40,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,20-Jun-17,Blood,20.9,23.7,m_p14,"3,865,413"
MASS1724,modern,NE24,41,85,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,17-Jun-17,Blood,17.5,5.26,m_p4,"32,687,183"
MASS1725,modern,NE25,54,2,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,17-Jun-17,Blood,35.6,3.73,m_p3,"5,449,958"
MASS1727,modern,NE27,46,41,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,24-Jun-17,Blood,TH,16.8,m_p10,"8,458,087"
MASS1728,modern,NE28,82,63,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,15-Jun-17,Blood,25.6,9.46,m_p6,"13,297,765"
MASS1729,modern,NE29,11,56,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,15-Jun-17,Blood,TH,9.88,m_p6,"8,525,451"
MASS1731,modern,NE31,65,37,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,13-Jun-17,Blood,40.5,7.06,m_p5,"29,647,597"
MASS1732,modern,NE32,43,53,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,15-Jun-17,Blood,40.9,34.2,m_p17,659
MASS1733,modern,NE33,63,87,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,17-Jun-17,Blood,37.3,0.08,m_p5,"5,785,253"
MASS1734,modern,NE34,74,46,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,20-Jun-17,Blood,TH,,m_p5,4
MASS1735,modern,NE35,79,57,2017,NE,MASS,"Ram Island, Buzzards Bay, Massachusetts","USA: Massachusetts, Buzzards Bay, Ram Island",41.6692 N,70.7170 W,41.6692 N 70.7170 W,17-Jun-17,Blood,TH,0.36,m_p9,
USVI1701,modern,C1,24,9,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,19,0.654,m_p15,"5,364,505"
USVI1702,modern,C2,20,30,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,35.4,9.59,m_p6,"7,663,156"
USVI1703,modern,C3,10,23,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,14.6,m_p9,"7,241,981"
USVI1704,modern,C4,14,50,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,34.6,20,m_p12,"4,665,583"
USVI1705,modern,C5,68,89,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,42.7,20.9,m_p12,"5,136,709"
USVI1706,modern,C6,45,58,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,60,13.8,m_p9,"7,076,272"
USVI1707,modern,C7,61,18,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,18.6,m_p11,"8,137,599"
USVI1708,modern,C8,35,90,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,0.396,m_p13,"10,872,532"
USVI1709,modern,C9,25,95,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,33.1,0.59,m_p13,"5,500,019"
USVI1710,modern,C10,71,77,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,34.6,33,m_p16,"8,122,912"
USVI1711,modern,C11,50,20,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,31.1,0.311,m_p13,"8,359,461"
USVI1713,modern,C13,15,86,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,24.8,P1,"5,321,782"
USVI1714,modern,C14,30,74,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,41.2,34.4,P2,"4,204,353"
USVI1715,modern,C15,85,12,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,45,0.26,m_p9,"12,763,088"
USVI1716,modern,C16,8,60,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,20.1,P2,"2,711,635"
USVI1717,modern,C17,29,39,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,56,17.1,P1,"5,069,484"
USVI1718,modern,C18,72,34,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,24.9,m_p14,"7,377,133"
USVI1719,modern,C19,93,75,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,17.7,m_p11,"15,877,811"
USVI1720,modern,C20,47,3,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,0.375,m_p15,"5,941,600"
USVI1721,modern,C21,96,15,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,0.434,m_p16,"5,148,957"
USVI1722,modern,C22,21,4,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,46.9,28.9,m_p15,"6,388,890"
USVI1723,modern,C23,78,69,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,52,0.398,m_p13,"5,706,905"
USVI1724,modern,C24,64,28,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,37.6,4.37,m_p3,"4,538,914"
USVI1725,modern,C25,59,16,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,38.4,7.34,m_p5,"22,180,504"
USVI1726,modern,C26,92,66,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,27,18.8,P1,"4,165,084"
USVI1727,modern,C27,86,79,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,35.1,0.12,m_p17,"5,267,923"
USVI1728,modern,C28,73,88,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,45.8,18.3,m_p11,"13,897,744"
USVI1729,modern,C29,77,62,2017,Car,USVI,"LeDuck Island, USVI"," USA: U.S. Virgin Islands, LeDuck Island",18.3163 N,64.6879 W,18.3163 N 64.6879 W,5-Jul-17,Blood,TH,0.147,m_p7,"7,805,924"
USVI1734,modern,C49,45,8,2017,Car,USVI,"Flat Cay, USVI","USA: U.S. Virgin Islands, Flat Cay",18.3163 N,64.9899 W,18.3163 N 64.9899 W,1-Jul-17,Tissue,4.18,14.2,m_p4,"3,408,333"
USVI1851,modern,C51,55,6,2018,Car,USVI,"Flat Cay, USVI","USA: U.S. Virgin Islands, Flat Cay",18.3163 N,64.9899 W,18.3163 N 64.9899 W,8-Jul-18,Tissue,2.17,21.8,m_p12,"1,154,573"
